#Problem Size           #Work           #Measured Time              #Predicted Time
1                       0               1.2094107723625847e-07      0
2                       0               1.1546642470633417e-07      0
3                       1               2.717981004707326e-07       1.5e-07
4                       2               4.1840945910753824e-07      3e-07
5                       4               7.234550113977001e-07       6e-07
6                       7               1.1722900695732008e-06      1.05e-06
7                       12              1.9165943756505044e-06      1.8e-06
15                      609             9.11298664547644e-05        9.135e-05
20                      6764            0.0011024031250599364       .0010146
25                      75024           0.012329588906140998        .0112536
